district,date,t_start,r,lower,upper
Delhi,2020-09-03,126,1.382195943534718,1.3564164361826465,1.408214760337201
Delhi,2020-09-04,127,1.4304908300925936,1.404829130527235,1.4563815695297306
Delhi,2020-09-05,128,1.5490458596123746,1.5229723631973469,1.5753375882890224
Delhi,2020-09-06,129,1.569056678062624,1.5435237516231572,1.5947961547759468
Delhi,2020-09-07,130,1.4276753585398445,1.4040877904628895,1.4514566821617039
Delhi,2020-09-08,131,1.4208101828274202,1.3980338301955928,1.4437680213685717
Delhi,2020-09-09,132,1.4415303959254082,1.41924828223894,1.4639836589193058
Delhi,2020-09-10,133,1.477128450478476,1.4551919363261583,1.499226799302504
Delhi,2020-09-11,134,1.4768916864188322,1.4555703262858468,1.4983659248913965
Delhi,2020-09-12,135,1.5627695913994626,1.5414719277104338,1.5842113532809576
Delhi,2020-09-13,136,1.5139499281607942,1.493623899286196,1.5344114258361172
Delhi,2020-09-14,137,1.3630970946854002,1.3444371315877885,1.3818838806574443
Delhi,2020-09-15,138,1.278230542199581,1.2607130467038814,1.2958672280011043
Delhi,2020-09-16,139,1.226923135581843,1.2101935092469924,1.2437660140153053
Delhi,2020-09-17,140,1.1836544242162246,1.1675581103202284,1.1998594084811807
Delhi,2020-09-18,141,1.1382116161999223,1.1226927401280593,1.1538355404279237
Delhi,2020-09-19,142,1.1525465782902642,1.1371439487550445,1.1680513872804377
Delhi,2020-09-20,143,1.1025796844233988,1.0876873307325523,1.117571895448347
Delhi,2020-09-21,144,0.9805959609127993,0.966698461916778,0.9945912715913214
Delhi,2020-09-22,145,0.9351715642038967,0.9216983066141897,0.9487412296336855
Delhi,2020-09-23,146,0.9105755599499122,0.8973072432873781,0.923939907217787
Delhi,2020-09-24,147,0.9021656173428121,0.8889325710031508,0.9154950795189583
Delhi,2020-09-25,148,0.9111598277675658,0.8978004844558259,0.9246164658044578
Delhi,2020-09-26,149,0.9646648648828461,0.9508373661927582,0.9785907994298938
Delhi,2020-09-27,150,0.9479373054900142,0.9341543630267073,0.9618197865373115
Delhi,2020-09-28,151,0.864062812190294,0.8508523618568263,0.8773736176464212
Delhi,2020-09-29,152,0.8399089065479037,0.8268228591660653,0.8530962745115198
Delhi,2020-09-30,153,0.8295027796070996,0.816395913306773,0.8427125755938208
Delhi,2020-10-01,154,0.8280520968010889,0.8148227687608177,0.8413864798546019
Delhi,2020-10-02,155,0.8263699752746146,0.8130005920686675,0.839846878899048
Delhi,2020-10-03,156,0.862895589237506,0.8490643014169394,0.8768370759568439
Delhi,2020-10-04,157,0.8519118451009271,0.8380001554080041,0.8659364729628894
Delhi,2020-10-05,158,0.7834013005999209,0.769911989037706,0.7970061339887186
Delhi,2020-10-06,159,0.7797474895473874,0.7661292055233261,0.7934840812805556
Delhi,2020-10-07,160,0.7992763166257218,0.7852896076412244,0.8133847741686603
Delhi,2020-10-08,161,0.8553957835452162,0.840699802552631,0.8702173358516664
Delhi,2020-10-09,162,0.8930381307917202,0.8777991535990591,0.9084064312841358
Delhi,2020-10-10,163,0.9794486271370312,0.9632907005855745,0.9957390798145721
Delhi,2020-10-11,164,1.0045072318782133,0.9879968734188841,1.0211525048480197
Delhi,2020-10-12,165,0.940336141619035,0.9242906726157633,0.95651777286756
Delhi,2020-10-13,166,0.9675835156775666,0.9512645127650649,0.9840393830840067
Delhi,2020-10-14,167,1.0076206720726062,0.990912195354099,1.0244669036886025
Delhi,2020-10-15,168,1.0575521325408856,1.0403920282469834,1.0748506543896252
Delhi,2020-10-16,169,1.1054226213866238,1.0878727651586624,1.1231109604275606
Delhi,2020-10-17,170,1.2020165795558486,1.1837620233669905,1.2204088755772287
Delhi,2020-10-18,171,1.205681597364499,1.1875147796868228,1.223984411229003
Delhi,2020-10-19,172,1.0980551275818105,1.0809040508932888,1.1153393355243615
Delhi,2020-10-20,173,1.0798450621952858,1.063029797619086,1.0967904506579516
Delhi,2020-10-21,174,1.0789252274378187,1.062259958385714,1.0957184101966309
Delhi,2020-10-22,175,1.105953075249425,1.0891927119876363,1.1228396359896928
Delhi,2020-10-23,176,1.1438229332585543,1.1268840268874871,1.1608864509448393
Delhi,2020-10-24,177,1.2543883204434927,1.2367756071397993,1.2721238340749563
Delhi,2020-10-25,178,1.2649458672605036,1.2474342939350687,1.2825778095888116
Delhi,2020-10-26,179,1.1766847012643291,1.1600351939489904,1.1934511976279778
Delhi,2020-10-27,180,1.1991997435266828,1.1826467470903557,1.2158661859762523
Delhi,2020-10-28,181,1.2593945028349964,1.242658925610328,1.276240471548968
Delhi,2020-10-29,182,1.3163222857414838,1.299450244434106,1.3333016486176823
Delhi,2020-10-30,183,1.3695346048350436,1.3526062225118185,1.3865668052378586
Delhi,2020-10-31,184,1.4340941502286437,1.417107243267725,1.4511808626859388
Delhi,2020-11-01,185,1.410408314981867,1.3939447201325457,1.4269672269168678
Delhi,2020-11-02,186,1.259822638931768,1.2446589386645446,1.275076880322116
Delhi,2020-11-03,187,1.2442807825811601,1.229575850480675,1.2590719142941968
Delhi,2020-11-04,188,1.2369978601052067,1.222626053244497,1.2514524818224673
Delhi,2020-11-05,189,1.263861442819619,1.2495873695712312,1.2782154591164676
Delhi,2020-11-06,190,1.2836691258381179,1.2695235059612344,1.2978920343939337
Delhi,2020-11-07,191,1.3557963525941807,1.3415093520048766,1.370157982335504
Delhi,2020-11-08,192,1.3437534589248528,1.329798127344396,1.3577806275802669
Delhi,2020-11-09,193,1.2212723014281026,1.2082512306276962,1.234362194431511
Delhi,2020-11-10,194,1.2103600487683257,1.1976636209121052,1.2231224941140708
Delhi,2020-11-11,195,1.2171456475809814,1.2046298030282359,1.2297252808063286
Delhi,2020-11-12,196,1.1834966047424633,1.1713435285784306,1.1957115349589325
Delhi,2020-11-13,197,1.15128318305307,1.139470161136721,1.163156280948271
Delhi,2020-11-14,198,1.193272796652355,1.1814009834475871,1.2052031411362158
Delhi,2020-11-15,199,1.0265186357387497,1.0156398145928252,1.0374546087827121
Delhi,2020-11-16,200,0.8629681065640847,0.8531027532216827,0.8728893898892957
Delhi,2020-11-17,201,0.8367260511404518,0.8270516539319923,0.8464559245692137
Delhi,2020-11-18,202,0.8340146507717874,0.8243179853751786,0.8437672310449509
Delhi,2020-11-19,203,0.8543717339601932,0.8444742973417597,0.8643260356680869
Delhi,2020-11-20,204,0.9754503295174286,0.9647639997613894,0.9861947040407567
Delhi,2020-11-21,205,1.0584744243772628,1.0472391438504545,1.0697688236113414
Delhi,2020-11-22,206,1.0783854958222743,1.0669973227267497,1.0898332845046714
Delhi,2020-11-23,207,0.9814806546207702,0.9706257587799589,0.9923950759881137
Delhi,2020-11-24,208,0.9354373521533644,0.9248661685322814,0.9460677762203415
Delhi,2020-11-25,209,0.8931468013364465,0.8828162695956359,0.9035365936368733
Delhi,2020-11-26,210,0.8861509999628582,0.8758282989538818,0.896533341303038
Delhi,2020-11-27,211,0.856253977100675,0.8460484239205085,0.8665198681502588
Delhi,2020-11-28,212,0.8868679111892774,0.8764025248186401,0.8973945531092135
Delhi,2020-11-29,213,0.8593341948367098,0.8489416694341303,0.86978907037471
Delhi,2020-11-30,214,0.823847172696753,0.8135814128557262,0.83417640309172
Delhi,2020-12-01,215,0.7904110470464022,0.7802548193689469,0.8006320385820628
Delhi,2020-12-02,216,0.7559438560727774,0.7458914714735043,0.7660625946000874
Delhi,2020-12-03,217,0.7326197607522651,0.7225800743240219,0.742727754559038
Delhi,2020-12-04,218,0.7266066602324776,0.7164379250318128,0.7368460602954691
Delhi,2020-12-05,219,0.7427883415913628,0.7323105350939786,0.7533395434800269
Delhi,2020-12-06,220,0.7205913072513597,0.7100647157819991,0.7311942802807241
Delhi,2020-12-07,221,0.6549665017492299,0.6447287408096785,0.6652837897176692
Delhi,2020-12-08,222,0.6601001486970381,0.6495974438765395,0.670685910682695
Delhi,2020-12-09,223,0.6194074182421208,0.6089834997620781,0.6299185674739852
Delhi,2020-12-10,224,0.5633744723474922,0.5531714329772214,0.5736694559725151
Delhi,2020-12-11,225,0.5806323091920789,0.5699689058062912,0.5913931685578784
Delhi,2020-12-12,226,0.6335970649216164,0.6220926146881588,0.6452054572328686
Delhi,2020-12-13,227,0.6059237876117634,0.5943020627444665,0.6176564857957729
Delhi,2020-12-14,228,0.5775567108965006,0.5658498626655046,0.589381759276034
Delhi,2020-12-15,229,0.6186551404440458,0.6061434538397752,0.6312928663049285
Delhi,2020-12-16,230,0.6012335660394298,0.5884893290633314,0.6141124260178805
Delhi,2020-12-17,231,0.5979695172494474,0.5848454227700064,0.6112372130026564
Delhi,2020-12-18,232,0.5922844559557382,0.5787948669084473,0.605927275938565
Delhi,2020-12-19,233,0.6119469479387983,0.5977796835048215,0.6262778260548647
Delhi,2020-12-20,234,0.6050474592848292,0.5904924086373206,0.6197772518740137
Delhi,2020-12-21,235,0.5723420640508097,0.5577249589463656,0.5871456141305471
Delhi,2020-12-22,236,0.5665077748521853,0.5514851997381717,0.581729408526009
Delhi,2020-12-23,237,0.5449079251948606,0.529669668329111,0.5603592718551316
Delhi,2020-12-24,238,0.5755342547172647,0.559312678352495,0.5919844849162641
Delhi,2020-12-25,239,0.5755425683491993,0.5587271687018432,0.592603793474641
Delhi,2020-12-26,240,0.5975622025883004,0.5798068908878103,0.6155815559514951
Delhi,2020-12-27,241,0.6138990934598455,0.5952614446168953,0.6328200290975636
Delhi,2020-12-28,242,0.6079528820447518,0.5887701005566205,0.6274388828366763
Delhi,2020-12-29,243,0.5877443889261917,0.5682603776567128,0.6075522350897276
Delhi,2020-12-30,244,0.6127258763982456,0.5921721857505498,0.6336253118683454
Delhi,2020-12-31,245,0.6387838427212238,0.6170950151802813,0.660842030893848
Delhi,2021-01-01,246,0.6453777903975857,0.6228714167304442,0.6682780154248905
Delhi,2021-01-02,247,0.6706813234836968,0.64702665216713,0.694754730945263
Delhi,2021-01-03,248,0.6458248208774865,0.621931794509648,0.6701618972722247
Delhi,2021-01-04,249,0.6106036442460713,0.5867201703106455,0.6349569135877157
Delhi,2021-01-05,250,0.6120671919661225,0.5874644761295555,0.6371675072436211
Delhi,2021-01-06,251,0.6694299909186867,0.6429073944268138,0.6964811689682703
Delhi,2021-01-07,252,0.7088215281600855,0.6806917814836607,0.7375128325137073
Delhi,2021-01-08,253,0.7558515976663568,0.7259788762129469,0.7863181687345672
Delhi,2021-01-09,254,0.8389423920104495,0.8066681071223462,0.8718408593890274
Delhi,2021-01-10,255,0.860069210056557,0.8267019547132802,0.894087359269359
Delhi,2021-01-11,256,0.7648524337255336,0.7328973679694573,0.7974798039433679
Delhi,2021-01-12,257,0.7504658306588073,0.7183662028380144,0.7832572161870764
Delhi,2021-01-13,258,0.7426773752873238,0.7102240290741569,0.7758455623092172
Delhi,2021-01-14,259,0.7000097748080144,0.6679444839119332,0.7328162503488135
Delhi,2021-01-15,260,0.6856214462525063,0.6532720062344001,0.718741640755257
Delhi,2021-01-16,261,0.7131169399565359,0.6794009259153615,0.7476379621732361
Delhi,2021-01-17,262,0.6843953236805498,0.6506147243074877,0.7190188316783187
Delhi,2021-01-18,263,0.6254113723085011,0.5923940378278401,0.6593114615958376
Delhi,2021-01-19,264,0.6036845820046008,0.5704548172145338,0.6378417568111556
Delhi,2021-01-20,265,0.6033417102285747,0.5692036142052602,0.6384599462624614
Delhi,2021-01-21,266,0.6010168835447427,0.565925609184492,0.6371487748773901
Delhi,2021-01-22,267,0.6513430895532171,0.6136512761469803,0.6901424104864543
Delhi,2021-01-23,268,0.7157668740797718,0.6749909119481522,0.7577217897775452
Delhi,2021-01-24,269,0.7281149416966276,0.6857929516063196,0.7716861913520978
Delhi,2021-01-25,270,0.7107392878351829,0.6678683905134066,0.7549248951629217
Delhi,2021-01-26,271,0.6941364730242937,0.6507823787817731,0.7388687723676074
Delhi,2021-01-27,272,0.5977625987713951,0.556646759813632,0.6403226230776442
Delhi,2021-01-28,273,0.6299508614264483,0.5866752029792638,0.674744599279174
Delhi,2021-01-29,274,0.7210558170733558,0.6733903723161697,0.7703280673457309
Delhi,2021-01-30,275,0.794304595022352,0.7428282590167498,0.8474809689651676
Delhi,2021-01-31,276,0.8177354718487233,0.7642329289045992,0.8730224764841112
Delhi,2021-02-01,277,0.8749311045164111,0.8184799413465867,0.9332380948301388
Delhi,2021-02-02,278,0.8173544082606244,0.7619609166685714,0.8746639659727337
Delhi,2021-02-03,279,0.7363879896784481,0.6831742945373838,0.7915689662967204
Delhi,2021-02-04,280,0.7312674339805552,0.6774849773742152,0.7870748884130095
Delhi,2021-02-05,281,0.7730741117824586,0.7167791674679791,0.8314668897795087
Delhi,2021-02-06,282,0.8052321918694093,0.746677755012988,0.8659654848999448
Delhi,2021-02-07,283,0.8404642063983053,0.7795608182126775,0.9036256567634245
Delhi,2021-02-08,284,0.8368256346707773,0.7751024065624397,0.9008797981059398
Delhi,2021-02-09,285,0.7870542916513142,0.7264088176495199,0.8500964684387825
Delhi,2021-02-10,286,0.7737173995593865,0.7127893331150343,0.8371084579442033
Delhi,2021-02-11,287,0.8230592648378875,0.7592359600265386,0.8894215652936268
Delhi,2021-02-12,288,0.8799836733732163,0.812913215327302,0.9496748384835211
Delhi,2021-02-13,289,0.9063586344998679,0.8373311046175438,0.9780811825777832
Delhi,2021-02-14,290,0.9992910836709021,0.92595390276119,1.075383380681595
Delhi,2021-02-15,291,1.0356857788190266,0.9604260677344824,1.11374392689678
Delhi,2021-02-16,292,0.9710130304297873,0.8979552613074888,1.0468873279655053
Delhi,2021-02-17,293,0.96207044649801,0.8893020703580728,1.0376596473346702
Delhi,2021-02-18,294,0.9712102730205893,0.8979725284399909,1.0472781187006266
Delhi,2021-02-19,295,0.9876478817167471,0.913615888940352,1.0645228876331345
Delhi,2021-02-20,296,1.0083059548807995,0.9333373699196635,1.0861292999505248
Delhi,2021-02-21,297,1.087861594444096,1.0098409355873224,1.1687441098665838
Delhi,2021-02-22,298,1.0774957985588964,0.9999005993904937,1.1579494024703143
Delhi,2021-02-23,299,1.092340977014731,1.0144751947729005,1.1730449262714346
Delhi,2021-02-24,300,1.144316934067688,1.0649585665904215,1.2264865649132082
Delhi,2021-02-25,301,1.2299142771580767,1.1480885886026353,1.3145166452180042
Delhi,2021-02-26,302,1.3672812646871586,1.2817074654382228,1.4555812248228102
Delhi,2021-02-27,303,1.4896230939115156,1.4014908803041983,1.5804047077251753
Delhi,2021-02-28,304,1.497058621143882,1.4105417700897616,1.5861141511148666
Delhi,2021-03-01,305,1.3855181678924717,1.3045496711028783,1.468889981850801
Delhi,2021-03-02,306,1.304612751777987,1.2282689326741079,1.3832257833597312
Delhi,2021-03-03,307,1.2216178229694754,1.149607753156173,1.2957844283935587
Delhi,2021-03-04,308,1.1905495870777836,1.1209434874286341,1.2622227045163437
Delhi,2021-03-05,309,1.2719145420500906,1.2011338447063802,1.3446929603810864
Delhi,2021-03-06,310,1.3825805413694727,1.3098567841794992,1.457241348214096
Delhi,2021-03-07,311,1.4013873176419271,1.3294624820514014,1.4751802193010601
Delhi,2021-03-08,312,1.339042369685833,1.270293450272632,1.4095775055558202
Delhi,2021-03-09,313,1.32953565004423,1.262632531097993,1.3981415578582084
Delhi,2021-03-10,314,1.320287993189635,1.255099874611894,1.3871032505355465
Delhi,2021-03-11,315,1.3361853837408875,1.2720013712130984,1.4019269543074333
Delhi,2021-03-12,316,1.3942029316644577,1.3300009385719156,1.459896980976369
Delhi,2021-03-13,317,1.4687854458984142,1.4043105445449495,1.5346871299698952
Delhi,2021-03-14,318,1.4594493879640593,1.3967522500092802,1.5235036913376596
Delhi,2021-03-15,319,1.378973595961496,1.3197048677623402,1.4395259140787013
Delhi,2021-03-16,320,1.3144197433968827,1.2581439491293933,1.3719094946358334
Delhi,2021-03-17,321,1.3140044821106311,1.2591187784952298,1.3700446585438333
Delhi,2021-03-18,322,1.366144316207359,1.3113932073964767,1.421999442005973
Delhi,2021-03-19,323,1.4802405092842097,1.424444452877611,1.537093464408765
Delhi,2021-03-20,324,1.6468722161630542,1.589385452503347,1.7053659544233823
Delhi,2021-03-21,325,1.7509061630807805,1.693342261426501,1.8094187728646682
Delhi,2021-03-22,326,1.7891787176860925,1.733089700123219,1.8461485014736654
Delhi,2021-03-23,327,1.8535864880843291,1.7988583720325095,1.9091232641169307
Delhi,2021-03-24,328,1.8996752900855207,1.8467461333713138,1.9533418470148542
Delhi,2021-03-25,329,1.969283436399989,1.9179575589818798,2.0212776006580975
Delhi,2021-03-26,330,2.0007962129304815,1.9516644543459198,2.0505302401827947
Delhi,2021-03-27,331,1.9839277514003197,1.937599293956461,2.030795937006963
Delhi,2021-03-28,332,1.9713000318921652,1.9276334077480537,2.0154489252556838
Delhi,2021-03-29,333,1.909532726984135,1.8688963367418419,1.9506000963858479
Delhi,2021-03-30,334,1.6030991424858605,1.5678747069268442,1.6387094398476598
Delhi,2021-03-31,335,1.501355951488334,1.4689455197201948,1.5341151266448085
Delhi,2021-04-01,336,1.5926308891203744,1.5605737943045155,1.6250093759624162
Delhi,2021-04-02,337,1.753325947574947,1.72085841998573,1.7860926926541216
Delhi,2021-04-03,338,1.8688442793279934,1.836560815128431,1.9014051189693995
Delhi,2021-04-04,339,2.119850967456496,2.0869283138348007,2.1530277104153233
Delhi,2021-04-05,340,2.1231924526959505,2.0918798428914425,2.154734456184076
Delhi,2021-04-06,341,2.1345203279429383,2.1049231466744125,2.164321279798469
Delhi,2021-04-07,342,2.0674716056351503,2.0400886007163033,2.0950346340279777
Delhi,2021-04-08,343,2.1502050420473715,2.123957931908246,2.1766111037816844
