district,date,t_start,r,lower,upper
Kolkata,2020-06-17,42,1.3215601055371815,1.227670299949806,1.4188602568117938
Kolkata,2020-06-18,43,1.3073949175292323,1.2158482467865959,1.4022172102714896
Kolkata,2020-06-19,44,1.2099108433639898,1.1236642809408908,1.299301047853834
Kolkata,2020-06-20,45,1.2008255635168594,1.1165218396345624,1.2881539061947327
Kolkata,2020-06-21,46,1.0946972577924647,1.0155362169251954,1.1767869437975078
Kolkata,2020-06-22,47,0.9724464439316776,0.8988932557368347,1.048850879616003
Kolkata,2020-06-23,48,0.8101085864205185,0.7436332966534945,0.879388979689741
Kolkata,2020-06-24,49,0.8444929486123387,0.776637274264905,0.9151498951095952
Kolkata,2020-06-25,50,0.9102395607725344,0.8392583603928122,0.9840610705292824
Kolkata,2020-06-26,51,0.9294183712383237,0.8570582858444296,1.004669088331864
Kolkata,2020-06-27,52,1.036107854116543,0.9590721693482039,1.1160770129517665
Kolkata,2020-06-28,53,1.1871263384894641,1.1041626058835954,1.273052610329714
Kolkata,2020-06-29,54,1.2241483849805943,1.1399479215178132,1.3113063723259257
Kolkata,2020-06-30,55,1.30895975814079,1.222530770216986,1.3982987939887142
Kolkata,2020-07-01,56,1.439696262904712,1.3501449668024528,1.5320823003688255
Kolkata,2020-07-02,57,1.497724421492402,1.408027993845242,1.5901513128349336
Kolkata,2020-07-03,58,1.4396173802442123,1.353846761987519,1.5279850355176794
Kolkata,2020-07-04,59,1.440447176374088,1.3570178063859444,1.52633020739836
Kolkata,2020-07-05,60,1.3774908221836797,1.2981633025905577,1.4591376503497238
Kolkata,2020-07-06,61,1.3539714572318504,1.277426126342633,1.432712574216951
Kolkata,2020-07-07,62,1.367673238910275,1.2926294169510149,1.4448046042331797
Kolkata,2020-07-08,63,1.4969001772518624,1.4201797278594346,1.5756104116976826
Kolkata,2020-07-09,64,1.503177123705971,1.4281841175521521,1.5800620509217922
Kolkata,2020-07-10,65,1.540739326136622,1.4669534222271001,1.616310247288147
Kolkata,2020-07-11,66,1.5636454754937477,1.4915602379080932,1.6374078943941313
Kolkata,2020-07-12,67,1.5988424810794706,1.5282817783976526,1.6709732116539344
Kolkata,2020-07-13,68,1.5320433901358637,1.4653140991327283,1.6002376248300147
Kolkata,2020-07-14,69,1.5728377164113743,1.5075438529321377,1.6394963703571832
Kolkata,2020-07-15,70,1.5023388775973667,1.4406802085945982,1.565271404148614
Kolkata,2020-07-16,71,1.4553085885775938,1.3966611771413666,1.5151452640751772
Kolkata,2020-07-17,72,1.4288040314985828,1.3725195078831436,1.4862037226809877
Kolkata,2020-07-18,73,1.4735830434730224,1.4180793605357565,1.5301372877493358
Kolkata,2020-07-19,74,1.4634045350110099,1.4096494068870726,1.5181514572301125
Kolkata,2020-07-20,75,1.4883755294172354,1.4357174295362554,1.5419687441486651
Kolkata,2020-07-21,76,1.4746009760701209,1.4237104111544614,1.5263727024800702
Kolkata,2020-07-22,77,1.4444653160089738,1.3955907342162144,1.4941693004998449
Kolkata,2020-07-23,78,1.4214231106339352,1.3743565168170617,1.469271060797642
Kolkata,2020-07-24,79,1.3566650178130346,1.3119799687398177,1.4020879036547367
Kolkata,2020-07-25,80,1.3157614009363674,1.2729208102357925,1.3593011232739705
Kolkata,2020-07-26,81,1.2524919054974029,1.2116943121361305,1.2939555726615548
Kolkata,2020-07-27,82,1.152813743122599,1.11450891837987,1.1917567139683998
Kolkata,2020-07-28,83,1.1073611354307598,1.0704756094460117,1.1448627073514355
Kolkata,2020-07-29,84,1.0755721082954945,1.0396879333209619,1.1120565836244818
Kolkata,2020-07-30,85,1.062697267551271,1.02736115663971,1.0986225008861006
Kolkata,2020-07-31,86,1.0548372501039671,1.0198739261204852,1.0903815984042247
Kolkata,2020-08-01,87,1.0926187688672488,1.0572204174639177,1.1285918808451996
Kolkata,2020-08-02,88,1.06108880507278,1.026380544898842,1.0963661439108903
Kolkata,2020-08-03,89,1.0697486085399528,1.035086424192453,1.1049736791663038
Kolkata,2020-08-04,90,1.0501148382467547,1.01594258665135,1.0848444444611194
Kolkata,2020-08-05,91,1.0388964752212921,1.0050657739221505,1.0732793504813047
Kolkata,2020-08-06,92,1.020967283256314,0.9875620185655337,1.0549204190326853
Kolkata,2020-08-07,93,1.0049877769298838,0.9719471612905203,1.0385729335013856
Kolkata,2020-08-08,94,0.9803663617487453,0.947800923760592,1.0134741697027867
Kolkata,2020-08-09,95,0.9490555638597462,0.9170444019933053,0.981608220484446
Kolkata,2020-08-10,96,0.9370481260674713,0.905217785297006,0.969420787882211
Kolkata,2020-08-11,97,0.9506658990927372,0.9185235364116433,0.9833533019705468
Kolkata,2020-08-12,98,0.9411023186024347,0.9090125248168666,0.9737409720519332
